OriginZip,DestinationZip,num_orders,count_orders,max_orders,avg_volume,max_volume,min_volume,orders_per_day
2072,43464,1,1,1,80.0,80.0,80.0,0.03333333333333333
2072,43530,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,43613,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,43748,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,43901,1,1,1,660.0,660.0,660.0,0.03333333333333333
2072,44273,1,1,1,238.0,238.0,238.0,0.03333333333333333
2072,44833,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,45011,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,45132,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,45340,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,45368,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,45385,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,45743,2,1,2,300.0,300.0,300.0,0.06666666666666667
2072,46128,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,46323,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,46391,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,46406,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,46508,2,2,1,186.0,264.0,108.0,0.06666666666666667
2072,47356,4,3,2,256.0,540.0,108.0,0.13333333333333333
2072,47524,2,2,1,142.0,176.0,108.0,0.06666666666666667
2072,47871,1,1,1,80.0,80.0,80.0,0.03333333333333333
2072,48160,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,48269,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,48326,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,48453,2,1,2,264.0,264.0,264.0,0.06666666666666667
2072,48630,1,1,1,162.0,162.0,162.0,0.03333333333333333
2072,48649,1,1,1,1547.0,1547.0,1547.0,0.03333333333333333
2072,48658,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,48911,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,49040,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,49053,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,49120,2,1,2,540.0,540.0,540.0,0.06666666666666667
2072,49847,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,49920,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,50222,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,50236,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,50438,1,1,1,504.0,504.0,504.0,0.03333333333333333
2072,50593,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,51019,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,51242,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,51591,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,52562,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,52650,3,1,3,120.0,120.0,120.0,0.1
2072,52652,1,1,1,504.0,504.0,504.0,0.03333333333333333
2072,53026,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,53190,2,1,2,80.0,80.0,80.0,0.06666666666666667
2072,53789,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,53944,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,54402,3,1,3,1000.0,1000.0,1000.0,0.1
2072,54649,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,54805,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,54817,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,54952,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,55076,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,55431,1,1,1,8000.0,8000.0,8000.0,0.03333333333333333
2072,55572,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,55595,2,1,2,1728.0,1728.0,1728.0,0.06666666666666667
2072,55718,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,55902,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,55981,2,1,2,264.0,264.0,264.0,0.06666666666666667
2072,56295,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,56517,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,57337,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,57461,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,57622,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,57751,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,57794,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,58009,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,58329,3,1,3,108.0,108.0,108.0,0.1
2072,58778,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,59219,2,1,2,60.0,60.0,60.0,0.06666666666666667
2072,59314,1,1,1,80.0,80.0,80.0,0.03333333333333333
2072,59868,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,60017,1,1,1,60.0,60.0,60.0,0.03333333333333333
